trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.598, 'e': 0.9801986733067553}",30,0,-103.25223031113573,"{0: 22, 1: 1, 2: 3, 3: 3, 4: 1}",0
2,False,"{'a': 0.596, 'e': 0.9607894391523232}",30,0,-129.19364400182508,"{0: 18, 1: 1, 2: 8, 3: 3, 4: 0}",0
3,False,"{'a': 0.594, 'e': 0.9417645335842487}",30,0,-57.08554902071644,"{0: 23, 1: 4, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.592, 'e': 0.9231163463866358}",20,0,-78.2563337365168,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.59, 'e': 0.9048374180359596}",20,0,-171.84077359705415,"{0: 11, 1: 0, 2: 4, 3: 3, 4: 2}",0
6,False,"{'a': 0.588, 'e': 0.8869204367171575}",30,0,-211.82823801746997,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
7,False,"{'a': 0.586, 'e': 0.8693582353988059}",20,0,-14.53068208862861,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.584, 'e': 0.8521437889662113}",20,0,-53.41391086991628,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.582, 'e': 0.835270211411272}",30,0,-207.4883569627827,"{0: 19, 1: 0, 2: 5, 3: 3, 4: 3}",0
10,False,"{'a': 0.58, 'e': 0.8187307530779818}",20,0,-102.50523538492588,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.578, 'e': 0.8025187979624785}",25,0,-115.8492035970671,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.576, 'e': 0.7866278610665535}",20,0,-140.8830498764862,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.574, 'e': 0.7710515858035663}",30,6,-77.17860326380567,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 1}",1
14,False,"{'a': 0.572, 'e': 0.7557837414557255}",25,0,-125.94710414966151,"{0: 16, 1: 0, 2: 5, 3: 3, 4: 1}",0
15,False,"{'a': 0.57, 'e': 0.7408182206817179}",20,0,-180.78459198581467,"{0: 9, 1: 1, 2: 5, 3: 3, 4: 2}",0
16,False,"{'a': 0.568, 'e': 0.7261490370736909}",20,0,-134.20226288754495,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.566, 'e': 0.7117703227626097}",25,0,-59.21217119105879,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
