trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.9801986733067553}",25,0,-132.91186221313296,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
2,False,"{'a': 0.6, 'e': 0.9607894391523232}",35,0,-283.2713920388294,"{0: 17, 1: 4, 2: 8, 3: 2, 4: 4}",0
3,False,"{'a': 0.6, 'e': 0.9417645335842487}",25,0,-117.32661051514665,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
4,False,"{'a': 0.6, 'e': 0.9231163463866358}",25,0,-98.31790202320688,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
5,False,"{'a': 0.6, 'e': 0.9048374180359596}",25,0,-185.56530698790868,"{0: 12, 1: 5, 2: 4, 3: 1, 4: 3}",0
6,False,"{'a': 0.6, 'e': 0.8869204367171575}",20,0,-13.59349167067036,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.6, 'e': 0.8693582353988059}",25,0,-146.99054726947762,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.6, 'e': 0.8521437889662113}",20,0,-191.53442338550354,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 4}",0
9,False,"{'a': 0.6, 'e': 0.835270211411272}",20,0,-63.453961930026146,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.6, 'e': 0.8187307530779818}",25,10,-97.76769849354164,"{0: 8, 1: 2, 2: 2, 3: 2, 4: 1}",1
11,False,"{'a': 0.6, 'e': 0.8025187979624785}",25,0,-125.2631388780082,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.6, 'e': 0.7866278610665535}",20,0,-148.65435093359594,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.6, 'e': 0.7710515858035663}",25,0,-203.44194440255566,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
14,False,"{'a': 0.6, 'e': 0.7557837414557255}",20,0,-77.07841228638355,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.6, 'e': 0.7408182206817179}",25,0,-136.52798802575234,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
16,False,"{'a': 0.6, 'e': 0.7261490370736909}",20,0,-80.93945735460885,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.6, 'e': 0.7117703227626097}",20,0,-106.3882737908703,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.6, 'e': 0.6976763260710311}",20,0,-70.35916200160541,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
19,False,"{'a': 0.6, 'e': 0.6838614092123558}",20,0,-100.13048628907174,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.6, 'e': 0.6703200460356393}",30,0,-43.09795295708487,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.6, 'e': 0.6570468198150567}",25,0,-129.04930370541527,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
22,False,"{'a': 0.6, 'e': 0.6440364210831414}",25,0,-116.2520979961669,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
23,False,"{'a': 0.6, 'e': 0.631283645506926}",20,0,-81.3463269929786,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
24,False,"{'a': 0.6, 'e': 0.6187833918061408}",20,3,-98.59611230708003,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 2}",1
25,False,"{'a': 0.6, 'e': 0.6065306597126334}",25,0,-96.96863768871906,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
26,False,"{'a': 0.6, 'e': 0.5945205479701944}",20,10,-13.459974288617984,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
27,False,"{'a': 0.6, 'e': 0.5827482523739896}",20,2,-38.177558308361405,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
28,False,"{'a': 0.6, 'e': 0.5712090638488149}",25,0,-12.084493377474873,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.6, 'e': 0.559898366565402}",30,9,-111.25858514292035,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 2}",1
30,False,"{'a': 0.6, 'e': 0.5488116360940265}",30,0,17.981622486706463,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.6, 'e': 0.5379444375946745}",30,0,-132.59423571075592,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
32,False,"{'a': 0.6, 'e': 0.5272924240430485}",25,0,-174.01373725148645,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
33,False,"{'a': 0.6, 'e': 0.5168513344916993}",25,0,-137.33727968506432,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
34,False,"{'a': 0.6, 'e': 0.5066169923655897}",20,0,-21.411577368483016,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
35,False,"{'a': 0.6, 'e': 0.4965853037914095}",30,0,-47.182437085667175,"{0: 23, 1: 0, 2: 7, 3: 0, 4: 0}",0
36,False,"{'a': 0.6, 'e': 0.4867522559599717}",30,13,-77.46947526032379,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 1}",1
37,False,"{'a': 0.6, 'e': 0.47711391552103444}",20,0,-45.38529653424848,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
38,False,"{'a': 0.6, 'e': 0.46766642700990924}",25,0,-123.53981851516889,"{0: 17, 1: 3, 2: 1, 3: 2, 4: 2}",0
39,False,"{'a': 0.6, 'e': 0.45840601130522357}",20,0,-5.130596247793204,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
40,False,"{'a': 0.6, 'e': 0.44932896411722156}",20,5,-43.071083758391964,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 0}",1
41,False,"{'a': 0.6, 'e': 0.44043165450599925}",25,0,2.115695739461886,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
42,False,"{'a': 0.6, 'e': 0.43171052342907973}",30,0,-17.943211639805764,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
43,False,"{'a': 0.6, 'e': 0.4231620823177488}",20,1,-34.92652167327276,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
44,False,"{'a': 0.6, 'e': 0.4147829116815814}",35,12,-16.739651390104868,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 1}",1
45,False,"{'a': 0.6, 'e': 0.4065696597405991}",30,0,-154.23889095939793,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
46,False,"{'a': 0.6, 'e': 0.3985190410845142}",20,0,-7.701465234922885,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
47,False,"{'a': 0.6, 'e': 0.3906278353585211}",20,0,-33.8925522758675,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
